New_York_State_Statewide_COVID-19_Testing (1),,,,,,
Test Date,County,New Positives,Cumulative Number of Positives,Total Number of Tests Performed,Cumulative Number of Tests Performed,Infection Rate
04/11/2020,St. Lawrence,5,85,65,963,
04/11/2020,Steuben,2,121,12,719,
04/11/2020,Suffolk,933,"20,816","2,215","47,966",
04/11/2020,Sullivan,18,358,65,"1,846",
04/11/2020,Tioga,0,19,8,304,
04/11/2020,Tompkins,1,109,77,"2,322",
04/11/2020,Ulster,23,612,239,"3,624",
04/11/2020,Warren,2,46,20,639,
04/11/2020,Washington,3,34,18,431,
04/11/2020,Wayne,0,42,7,616,
04/11/2020,Westchester,584,"19,313","1,472","58,299",
04/11/2020,Wyoming,0,31,2,245,
04/11/2020,Yates,1,3,6,109,
04/10/2020,Albany,20,446,159,"5,124",
04/10/2020,Allegany,0,26,16,264,
04/10/2020,Bronx,"1,317","20,477","2,580","39,494",
04/10/2020,Broome,5,117,31,849,
04/10/2020,Cattaraugus,1,19,7,332,
04/10/2020,Cayuga,1,28,5,502,
04/10/2020,Chautauqua,1,21,67,433,
04/10/2020,Chemung,1,60,26,727,
04/10/2020,Chenango,1,61,17,332,
04/10/2020,Clinton,0,43,23,386,
04/10/2020,Columbia,3,77,30,611,
04/10/2020,Cortland,0,17,20,687,
04/10/2020,Delaware,0,39,17,306,
04/10/2020,Dutchess,146,"1,744",584,"6,846",
04/10/2020,Erie,63,"1,472",297,"6,230",
04/10/2020,Essex,2,12,4,138,
04/10/2020,Franklin,0,11,5,185,
04/10/2020,Fulton,3,21,17,291,
04/10/2020,Genesee,2,67,18,458,
04/10/2020,Greene,3,37,27,397,
04/10/2020,Hamilton,0,3,1,19,
04/10/2020,Herkimer,1,37,12,324,
04/10/2020,Jefferson,1,44,43,952,
04/10/2020,Kings,"1,528","26,243","2,887","50,491",
04/10/2020,Lewis,0,6,0,160,
04/10/2020,Livingston,1,30,7,326,
04/10/2020,Madison,0,99,7,687,
04/10/2020,Monroe,25,767,284,"6,917",
04/10/2020,Montgomery,0,29,8,272,
04/10/2020,Nassau,"1,072","22,584","2,527","49,645",
04/10/2020,New York,715,"13,437","1,685","32,427",
04/10/2020,Niagara,11,167,46,834,
04/10/2020,Oneida,9,181,42,"1,244",
04/10/2020,Onondaga,11,380,116,"5,576",
04/10/2020,Ontario,5,56,39,679,
04/10/2020,Orange,315,"4,847",879,"13,923",
04/10/2020,Orleans,0,24,3,251,
04/10/2020,Oswego,1,37,12,803,
04/10/2020,Otsego,2,43,34,515,
04/10/2020,Putnam,7,494,18,"1,841",
04/10/2020,Queens,"1,988","31,291","3,803","55,715",
04/10/2020,Rensselaer,5,96,40,"1,606",
04/10/2020,Richmond,376,"6,860",807,"15,488",
04/10/2020,Rockland,355,"7,477",785,"16,979",
04/10/2020,Saratoga,5,187,68,"2,491",
04/10/2020,Schenectady,3,194,24,"1,771",
04/10/2020,Schoharie,0,12,5,228,
04/10/2020,Schuyler,0,5,7,151,
04/10/2020,Seneca,1,16,5,196,
04/10/2020,St. Lawrence,2,80,19,898,
04/10/2020,Steuben,2,119,28,707,
04/10/2020,Suffolk,"1,191","19,883","2,556","45,751",
04/10/2020,Sullivan,22,340,99,"1,781",
04/10/2020,Tioga,1,19,10,296,
04/10/2020,Tompkins,3,108,135,"2,245",
04/10/2020,Ulster,59,589,358,"3,385",
04/10/2020,Warren,1,44,17,619,
04/10/2020,Washington,5,31,16,413,
04/10/2020,Wayne,1,42,17,609,
04/10/2020,Westchester,652,"18,729","1,679","56,827",
04/10/2020,Wyoming,1,31,12,243,
04/10/2020,Yates,0,2,5,103,
04/09/2020,Albany,47,426,332,"4,965",
04/09/2020,Allegany,4,26,21,248,
04/09/2020,Bronx,"1,368","19,160","2,637","36,914",
04/09/2020,Broome,7,112,58,818,
04/09/2020,Cattaraugus,1,18,26,325,
04/09/2020,Cayuga,11,27,31,497,
04/09/2020,Chautauqua,2,20,54,366,
04/09/2020,Chemung,0,59,39,701,
04/09/2020,Chenango,5,60,29,315,
04/09/2020,Clinton,3,43,17,363,
04/09/2020,Columbia,4,74,55,581,
04/09/2020,Cortland,1,17,25,667,
04/09/2020,Delaware,2,39,20,289,
04/09/2020,Dutchess,105,"1,598",509,"6,262",
04/09/2020,Erie,47,"1,409",309,"5,933",
04/09/2020,Essex,2,10,13,134,
04/09/2020,Franklin,0,11,6,180,
04/09/2020,Fulton,3,18,24,274,
04/09/2020,Genesee,9,65,32,440,
04/09/2020,Greene,6,34,36,370,
04/09/2020,Hamilton,0,3,0,18,
04/09/2020,Herkimer,4,36,23,312,
04/09/2020,Jefferson,1,43,52,909,
04/09/2020,Kings,"1,321","24,715","2,578","47,604",
04/09/2020,Lewis,0,6,23,160,
04/09/2020,Livingston,3,29,26,319,
04/09/2020,Madison,8,99,54,680,
04/09/2020,Monroe,44,742,380,"6,633",
04/09/2020,Montgomery,1,29,13,264,
04/09/2020,Nassau,"1,372","21,512","3,021","47,118",
04/09/2020,New York,616,"12,722","1,659","30,742",
04/09/2020,Niagara,10,156,79,788,
04/09/2020,Oneida,14,172,85,"1,202",
04/09/2020,Onondaga,11,369,148,"5,460",
04/09/2020,Ontario,8,51,50,640,
04/09/2020,Orange,442,"4,532","1,335","13,044",
04/09/2020,Orleans,2,24,14,248,
04/09/2020,Oswego,0,36,32,791,
04/09/2020,Otsego,2,41,40,481,
04/09/2020,Putnam,49,487,169,"1,823",
04/09/2020,Queens,"1,551","29,303","2,941","51,912",
04/09/2020,Rensselaer,12,91,101,"1,566",
04/09/2020,Richmond,500,"6,484","1,212","14,681",
04/09/2020,Rockland,457,"7,122","1,013","16,194",
04/09/2020,Saratoga,10,182,154,"2,423",
04/09/2020,Schenectady,24,191,183,"1,747",
04/09/2020,Schoharie,0,12,16,223,
04/09/2020,Schuyler,1,5,4,144,
04/09/2020,Seneca,0,15,8,191,
04/09/2020,St. Lawrence,2,78,24,879,
04/09/2020,Steuben,28,117,97,679,
04/09/2020,Suffolk,"1,279","18,692","2,942","43,195",
04/09/2020,Sullivan,24,318,115,"1,682",
04/09/2020,Tioga,1,18,16,286,
04/09/2020,Tompkins,0,105,24,"2,110",
04/09/2020,Ulster,70,530,436,"3,027",
04/09/2020,Warren,3,43,21,602,
04/09/2020,Washington,1,26,14,397,
04/09/2020,Wayne,2,41,34,592,
04/09/2020,Westchester,"1,073","18,077","2,911","55,148",
04/09/2020,Wyoming,1,30,13,231,
04/09/2020,Yates,1,2,3,98,
04/08/2020,Albany,37,379,229,"4,633",
04/08/2020,Allegany,1,22,12,227,
04/08/2020,Bronx,"1,166","17,792","2,348","34,277",
04/08/2020,Broome,17,105,82,760,
04/08/2020,Cattaraugus,2,17,15,299,
04/08/2020,Cayuga,2,16,37,466,
04/08/2020,Chautauqua,1,18,32,312,
04/08/2020,Chemung,4,59,38,662,
04/08/2020,Chenango,2,55,21,286,
04/08/2020,Clinton,1,40,25,346,
04/08/2020,Columbia,7,70,27,526,
04/08/2020,Cortland,0,16,41,642,
04/08/2020,Delaware,0,37,22,269,
04/08/2020,Dutchess,98,"1,493",512,"5,753",
04/08/2020,Erie,157,"1,362",458,"5,624",
04/08/2020,Essex,1,8,6,121,
04/08/2020,Franklin,1,11,5,174,
04/08/2020,Fulton,1,15,21,250,
04/08/2020,Genesee,9,56,43,408,
04/08/2020,Greene,3,28,29,334,
04/08/2020,Hamilton,1,3,1,18,
04/08/2020,Herkimer,3,32,44,289,
04/08/2020,Jefferson,2,42,84,857,
04/08/2020,Kings,"1,312","23,394","2,565","45,026",
04/08/2020,Lewis,0,6,8,137,
04/08/2020,Livingston,1,26,17,293,
04/08/2020,Madison,1,91,12,626,
04/08/2020,Monroe,47,698,382,"6,253",
04/08/2020,Montgomery,10,28,24,251,
04/08/2020,Nassau,"1,592","20,140","3,598","44,097",
04/08/2020,New York,602,"12,106","1,424","29,083",
04/08/2020,Niagara,12,146,53,709,
04/08/2020,Oneida,33,158,104,"1,117",
04/08/2020,Onondaga,11,358,245,"5,312",
04/08/2020,Ontario,4,43,38,590,
04/08/2020,Orange,225,"4,090",578,"11,709",
04/08/2020,Orleans,6,22,27,234,
04/08/2020,Oswego,3,36,61,759,
04/08/2020,Otsego,1,39,42,441,
04/08/2020,Putnam,35,438,158,"1,654",
04/08/2020,Queens,"1,504","27,752","2,831","48,971",
04/08/2020,Rensselaer,4,79,52,"1,465",
04/08/2020,Richmond,641,"5,984","1,528","13,469",
04/08/2020,Rockland,252,"6,665",648,"15,181",
04/08/2020,Saratoga,10,172,113,"2,269",
04/08/2020,Schenectady,18,167,104,"1,564",
04/08/2020,Schoharie,0,12,8,207,
04/08/2020,Schuyler,0,4,20,140,
04/08/2020,Seneca,3,15,20,183,
04/08/2020,St. Lawrence,7,76,50,855,
04/08/2020,Steuben,7,89,50,582,
04/08/2020,Suffolk,"1,569","17,413","3,889","40,253",
04/08/2020,Sullivan,15,294,60,"1,567",
04/08/2020,Tioga,5,17,32,270,
04/08/2020,Tompkins,6,105,299,"2,086",
04/08/2020,Ulster,38,460,227,"2,591",
04/08/2020,Warren,7,40,31,581,
04/08/2020,Washington,5,25,24,383,
04/08/2020,Wayne,0,39,34,558,
04/08/2020,Westchester,"1,117","17,004","2,889","52,237",
04/08/2020,Wyoming,2,29,12,218,
04/08/2020,Yates,0,1,7,95,
04/07/2020,Albany,9,342,74,"4,404",
04/07/2020,Allegany,4,21,16,215,
04/07/2020,Bronx,"1,278","16,626","2,562","31,929",
04/07/2020,Broome,2,88,24,678,
04/07/2020,Cattaraugus,2,15,19,284,
04/07/2020,Cayuga,0,14,11,429,
04/07/2020,Chautauqua,1,17,6,280,
04/07/2020,Chemung,6,55,56,624,
04/07/2020,Chenango,2,53,11,265,
04/07/2020,Clinton,2,39,25,321,
04/07/2020,Columbia,2,63,8,499,
04/07/2020,Cortland,0,16,18,601,
04/07/2020,Delaware,1,37,16,247,
04/07/2020,Dutchess,146,"1,395",462,"5,241",
04/07/2020,Erie,70,"1,205",295,"5,166",
04/07/2020,Essex,0,7,4,115,
04/07/2020,Franklin,0,10,7,169,
04/07/2020,Fulton,1,14,6,229,
04/07/2020,Genesee,14,47,31,365,
04/07/2020,Greene,1,25,6,305,
04/07/2020,Hamilton,0,2,0,17,
04/07/2020,Herkimer,2,29,19,245,
04/07/2020,Jefferson,1,40,25,773,
04/07/2020,Kings,"1,203","22,082","2,607","42,461",
04/07/2020,Lewis,0,6,6,129,
04/07/2020,Livingston,2,25,23,276,
04/07/2020,Madison,2,90,43,614,
04/07/2020,Monroe,55,651,420,"5,871",
04/07/2020,Montgomery,0,18,9,227,
04/07/2020,Nassau,"1,938","18,548","4,179","40,499",
04/07/2020,New York,492,"11,504","1,257","27,659",
04/07/2020,Niagara,8,134,39,656,
04/07/2020,Oneida,7,125,59,"1,013",
04/07/2020,Onondaga,12,347,126,"5,067",
04/07/2020,Ontario,6,39,50,552,
04/07/2020,Orange,266,"3,865",711,"11,131",
04/07/2020,Orleans,1,16,14,207,
04/07/2020,Oswego,2,33,27,698,
04/07/2020,Otsego,4,38,31,399,
04/07/2020,Putnam,37,403,115,"1,496",
04/07/2020,Queens,"1,408","26,248","2,884","46,140",
04/07/2020,Rensselaer,8,75,53,"1,413",
04/07/2020,Richmond,546,"5,343","1,262","11,941",
04/07/2020,Rockland,423,"6,413","1,027","14,533",
04/07/2020,Saratoga,7,162,73,"2,156",
04/07/2020,Schenectady,4,149,23,"1,460",
04/07/2020,Schoharie,0,12,20,199,
04/07/2020,Schuyler,0,4,12,120,
04/07/2020,Seneca,2,12,14,163,
04/07/2020,St. Lawrence,9,69,69,805,
04/07/2020,Steuben,7,82,67,532,
04/07/2020,Suffolk,"1,327","15,844","3,139","36,364",
04/07/2020,Sullivan,9,279,56,"1,507",
04/07/2020,Tioga,4,12,29,238,
04/07/2020,Tompkins,2,99,85,"1,787",
04/07/2020,Ulster,24,422,108,"2,364",
04/07/2020,Warren,2,33,14,550,
04/07/2020,Washington,1,20,27,359,
04/07/2020,Wayne,4,39,46,524,
04/07/2020,Westchester,"1,083","15,887","2,647","49,348",
04/07/2020,Wyoming,4,27,18,206,
04/07/2020,Yates,0,1,5,88,
04/06/2020,Albany,14,333,86,"4,330",
04/06/2020,Allegany,0,17,3,199,
04/06/2020,Bronx,"1,021","15,348","1,996","29,367",
04/06/2020,Broome,10,86,47,654,
04/06/2020,Cattaraugus,1,13,14,265,
04/06/2020,Cayuga,3,14,33,418,
04/06/2020,Chautauqua,1,16,37,274,
04/06/2020,Chemung,2,49,22,568,
04/06/2020,Chenango,5,51,42,254,
04/06/2020,Clinton,1,37,16,296,
04/06/2020,Columbia,2,61,15,491,
04/06/2020,Cortland,3,16,25,583,
04/06/2020,Delaware,7,36,30,231,
04/06/2020,Dutchess,60,"1,249",335,"4,779",
04/06/2020,Erie,112,"1,135",396,"4,871",
04/06/2020,Essex,0,7,5,111,
04/06/2020,Franklin,0,10,5,162,
04/06/2020,Fulton,2,13,18,223,
04/06/2020,Genesee,10,33,37,334,
04/06/2020,Greene,0,24,13,299,
04/06/2020,Hamilton,0,2,0,17,
04/06/2020,Herkimer,2,27,19,226,
04/06/2020,Jefferson,6,39,63,748,
04/06/2020,Kings,"1,177","20,879","2,245","39,854",
04/06/2020,Lewis,0,6,11,123,
04/06/2020,Livingston,1,23,18,253,
04/06/2020,Madison,6,88,64,571,
04/06/2020,Monroe,22,596,305,"5,451",
04/06/2020,Montgomery,3,18,20,218,
04/06/2020,Nassau,994,"16,610","2,097","36,320",
04/06/2020,New York,572,"11,012","1,249","26,402",
04/06/2020,Niagara,6,126,44,617,
04/06/2020,Oneida,18,118,90,954,
04/06/2020,Onondaga,64,335,689,"4,941",
04/06/2020,Ontario,1,33,32,502,
04/06/2020,Orange,202,"3,599",604,"10,420",
04/06/2020,Orleans,2,15,17,193,
04/06/2020,Oswego,2,31,70,671,
04/06/2020,Otsego,0,34,43,368,
04/06/2020,Putnam,21,366,72,"1,381",
04/06/2020,Queens,"1,707","24,840","2,864","43,256",
04/06/2020,Rensselaer,5,67,30,"1,360",
04/06/2020,Richmond,218,"4,797",605,"10,679",
04/06/2020,Rockland,287,"5,990",662,"13,506",
04/06/2020,Saratoga,2,155,40,"2,083",
04/06/2020,Schenectady,7,145,35,"1,437",
04/06/2020,Schoharie,1,12,19,179,
04/06/2020,Schuyler,0,4,4,108,
04/06/2020,Seneca,1,10,8,149,
04/06/2020,St. Lawrence,1,60,64,736,
04/06/2020,Steuben,0,75,22,465,
04/06/2020,Suffolk,"1,030","14,517","2,323","33,225",
04/06/2020,Sullivan,17,270,77,"1,451",
04/06/2020,Tioga,0,8,10,209,
04/06/2020,Tompkins,3,97,23,"1,702",
04/06/2020,Ulster,26,398,117,"2,256",
04/06/2020,Warren,5,31,15,536,
04/06/2020,Washington,0,19,13,332,
04/06/2020,Wayne,1,35,31,478,
04/06/2020,Westchester,510,"14,804","1,348","46,701",
04/06/2020,Wyoming,0,23,7,188,
04/06/2020,Yates,0,1,3,83,
04/05/2020,Albany,14,319,89,"4,244",
04/05/2020,Allegany,1,17,8,196,
04/05/2020,Bronx,959,"14,327","1,628","27,371",
04/05/2020,Broome,5,76,33,607,
04/05/2020,Cattaraugus,2,12,16,251,
04/05/2020,Cayuga,3,11,31,385,
04/05/2020,Chautauqua,4,15,50,237,
04/05/2020,Chemung,9,47,50,546,
04/05/2020,Chenango,3,46,27,212,
04/05/2020,Clinton,3,36,14,280,
04/05/2020,Columbia,8,59,23,476,
04/05/2020,Cortland,3,13,42,558,
04/05/2020,Delaware,2,29,28,201,
04/05/2020,Dutchess,112,"1,189",338,"4,444",
04/05/2020,Erie,105,"1,023",549,"4,475",
04/05/2020,Essex,0,7,4,106,
04/05/2020,Franklin,0,10,5,157,
04/05/2020,Fulton,2,11,20,205,
04/05/2020,Genesee,1,23,11,297,
04/05/2020,Greene,0,24,12,286,
04/05/2020,Hamilton,0,2,0,17,
04/05/2020,Herkimer,3,25,23,207,
04/05/2020,Jefferson,7,33,98,685,
04/05/2020,Kings,"1,144","19,702","2,013","37,609",
04/05/2020,Lewis,3,6,11,112,
04/05/2020,Livingston,3,22,14,235,
04/05/2020,Madison,3,82,13,507,
04/05/2020,Monroe,26,574,225,"5,146",
04/05/2020,Montgomery,0,15,8,198,
04/05/2020,Nassau,"1,218","15,616","2,363","34,223",
04/05/2020,New York,542,"10,440","1,162","25,153",
04/05/2020,Niagara,4,120,44,573,
04/05/2020,Oneida,13,100,87,864,
04/05/2020,Onondaga,3,271,89,"4,252",
04/05/2020,Ontario,0,32,26,470,
04/05/2020,Orange,295,"3,397",827,"9,816",
04/05/2020,Orleans,2,13,16,176,
04/05/2020,Oswego,1,29,39,601,
04/05/2020,Otsego,5,34,41,325,
04/05/2020,Putnam,31,345,122,"1,309",
04/05/2020,Queens,"1,697","23,133","2,730","40,392",
04/05/2020,Rensselaer,2,62,29,"1,330",
04/05/2020,Richmond,288,"4,579",600,"10,074",
04/05/2020,Rockland,377,"5,703",732,"12,844",
04/05/2020,Saratoga,5,153,34,"2,043",
04/05/2020,Schenectady,10,138,64,"1,402",
04/05/2020,Schoharie,0,11,17,160,
04/05/2020,Schuyler,0,4,9,104,
04/05/2020,Seneca,0,9,11,141,
04/05/2020,St. Lawrence,4,59,43,672,
04/05/2020,Steuben,12,75,40,443,
04/05/2020,Suffolk,"1,082","13,487","2,211","30,902",
04/05/2020,Sullivan,19,253,91,"1,374",
04/05/2020,Tioga,1,8,10,199,
04/05/2020,Tompkins,6,94,94,"1,679",
04/05/2020,Ulster,40,372,182,"2,139",
04/05/2020,Warren,1,26,12,521,
04/05/2020,Washington,1,19,2,319,
04/05/2020,Wayne,2,34,15,447,
04/05/2020,Westchester,571,"14,294","1,398","45,353",
04/05/2020,Wyoming,1,23,6,181,
04/05/2020,Yates,0,1,2,80,
04/04/2020,Albany,12,305,117,"4,155",
04/04/2020,Allegany,0,16,8,188,
04/04/2020,Bronx,"1,053","13,368","1,778","25,743",
04/04/2020,Broome,6,71,36,574,
04/04/2020,Cattaraugus,1,10,12,235,
04/04/2020,Cayuga,1,8,32,354,
04/04/2020,Chautauqua,1,11,28,187,
04/04/2020,Chemung,2,38,35,496,
04/04/2020,Chenango,4,43,17,185,
04/04/2020,Clinton,2,33,23,266,
04/04/2020,Columbia,2,51,15,453,
04/04/2020,Cortland,0,10,38,516,
04/04/2020,Delaware,1,27,12,173,
04/04/2020,Dutchess,139,"1,077",352,"4,106",
04/04/2020,Erie,110,918,402,"3,926",
04/04/2020,Essex,0,7,4,102,
04/04/2020,Franklin,0,10,6,152,
04/04/2020,Fulton,0,9,12,185,
04/04/2020,Genesee,2,22,12,286,
04/04/2020,Greene,0,24,7,274,
04/04/2020,Hamilton,0,2,0,17,
04/04/2020,Herkimer,4,22,46,184,
04/04/2020,Jefferson,6,26,75,587,
04/04/2020,Kings,"1,054","18,558","1,990","35,596",
04/04/2020,Lewis,1,3,19,101,
04/04/2020,Livingston,1,19,27,221,
04/04/2020,Madison,5,79,28,494,
04/04/2020,Monroe,36,548,277,"4,921",
04/04/2020,Montgomery,2,15,14,190,
04/04/2020,Nassau,"1,052","14,398","2,195","31,860",
04/04/2020,New York,598,"9,898","1,278","23,991",
04/04/2020,Niagara,15,116,54,529,
04/04/2020,Oneida,7,87,55,777,
04/04/2020,Onondaga,6,268,131,"4,163",
04/04/2020,Ontario,1,32,33,444,
04/04/2020,Orange,361,"3,102","1,077","8,989",
04/04/2020,Orleans,1,11,9,160,
04/04/2020,Oswego,2,28,26,562,
04/04/2020,Otsego,3,29,25,284,
04/04/2020,Putnam,31,314,78,"1,187",
04/04/2020,Queens,"1,322","21,436","2,255","37,662",
04/04/2020,Rensselaer,2,60,48,"1,301",
04/04/2020,Richmond,218,"4,291",513,"9,474",
04/04/2020,Rockland,454,"5,326",880,"12,112",
04/04/2020,Saratoga,7,148,110,"2,009",
04/04/2020,Schenectady,11,128,64,"1,338",
04/04/2020,Schoharie,1,11,16,143,
04/04/2020,Schuyler,0,4,2,95,
04/04/2020,Seneca,3,9,15,130,
04/04/2020,St. Lawrence,3,55,46,629,
04/04/2020,Steuben,8,63,31,403,
04/04/2020,Suffolk,"1,035","12,405","2,200","28,691",
04/04/2020,Sullivan,41,234,153,"1,283",
04/04/2020,Tioga,0,7,8,189,
04/04/2020,Tompkins,3,88,52,"1,585",
04/04/2020,Ulster,42,332,188,"1,957",
04/04/2020,Warren,5,25,13,509,
04/04/2020,Washington,2,18,15,317,
04/04/2020,Wayne,2,32,24,432,
04/04/2020,Westchester,642,"13,723","1,621","43,955",
04/04/2020,Wyoming,4,22,16,175,
04/04/2020,Yates,0,1,6,78,
04/03/2020,Albany,26,293,123,"4,038",
04/03/2020,Allegany,2,16,13,180,
04/03/2020,Bronx,"1,229","12,315","2,108","23,965",
04/03/2020,Broome,9,65,55,538,
04/03/2020,Cattaraugus,0,9,8,223,
04/03/2020,Cayuga,1,7,15,322,
04/03/2020,Chautauqua,1,10,20,159,
04/03/2020,Chemung,1,36,28,461,
04/03/2020,Chenango,7,39,40,168,
04/03/2020,Clinton,1,31,11,243,
04/03/2020,Columbia,7,49,20,438,
04/03/2020,Cortland,0,10,32,478,
04/03/2020,Delaware,2,26,18,161,
04/03/2020,Dutchess,129,938,447,"3,754",
04/03/2020,Erie,88,808,317,"3,524",
04/03/2020,Essex,1,7,7,98,
04/03/2020,Franklin,0,10,4,146,
04/03/2020,Fulton,3,9,24,173,
04/03/2020,Genesee,4,20,30,274,
04/03/2020,Greene,1,24,10,267,
04/03/2020,Hamilton,0,2,0,17,
04/03/2020,Herkimer,4,18,27,138,
04/03/2020,Jefferson,2,20,38,512,
04/03/2020,Kings,"1,804","17,504","3,234","33,606",
04/03/2020,Lewis,0,2,5,82,
04/03/2020,Livingston,2,18,18,194,
04/03/2020,Madison,4,74,20,466,
04/03/2020,Monroe,48,512,328,"4,644",
04/03/2020,Montgomery,3,13,11,176,
04/03/2020,Nassau,"1,322","13,346","2,694","29,665",
04/03/2020,New York,848,"9,300","1,820","22,713",
04/03/2020,Niagara,7,101,47,475,
04/03/2020,Oneida,9,80,58,722,
04/03/2020,Onondaga,10,262,221,"4,032",
04/03/2020,Ontario,3,31,36,411,
04/03/2020,Orange,344,"2,741","1,046","7,912",
04/03/2020,Orleans,1,10,11,151,
04/03/2020,Oswego,0,26,31,536,
04/03/2020,Otsego,5,26,53,259,
04/03/2020,Putnam,31,283,96,"1,109",
04/03/2020,Queens,"1,947","20,114","3,407","35,407",
04/03/2020,Rensselaer,2,58,18,"1,253",
04/03/2020,Richmond,319,"4,073",679,"8,961",
04/03/2020,Rockland,583,"4,872","1,124","11,232",
04/03/2020,Saratoga,0,141,57,"1,899",
04/03/2020,Schenectady,7,117,38,"1,274",
04/03/2020,Schoharie,1,10,21,127,
04/03/2020,Schuyler,1,4,5,93,
04/03/2020,Seneca,0,6,7,115,
04/03/2020,St. Lawrence,9,52,81,583,
04/03/2020,Steuben,9,55,27,372,
04/03/2020,Suffolk,"1,216","11,370","2,463","26,491",
04/03/2020,Sullivan,25,193,133,"1,130",
04/03/2020,Tioga,0,7,9,181,
04/03/2020,Tompkins,1,85,81,"1,533",
04/03/2020,Ulster,27,290,141,"1,769",
04/03/2020,Warren,1,20,7,496,
04/03/2020,Washington,1,16,9,302,
04/03/2020,Wayne,0,30,35,408,
04/03/2020,Westchester,730,"13,081","1,621","42,334",
04/03/2020,Wyoming,3,18,11,159,
04/03/2020,Yates,0,1,3,72,
04/02/2020,Albany,14,267,105,"3,915",
04/02/2020,Allegany,2,14,18,167,
04/02/2020,Bronx,"1,159","11,086","1,946","21,857",
04/02/2020,Broome,10,56,72,483,
04/02/2020,Cattaraugus,1,9,24,215,
04/02/2020,Cayuga,2,6,36,307,
04/02/2020,Chautauqua,1,9,15,139,
04/02/2020,Chemung,13,35,84,433,
04/02/2020,Chenango,4,32,17,128,
04/02/2020,Clinton,5,30,16,232,
04/02/2020,Columbia,6,42,22,418,
04/02/2020,Cortland,2,10,54,446,
04/02/2020,Delaware,2,24,9,143,
04/02/2020,Dutchess,142,809,415,"3,307",
04/02/2020,Erie,103,720,429,"3,207",
04/02/2020,Essex,0,6,2,91,
04/02/2020,Franklin,1,10,19,142,
04/02/2020,Fulton,0,6,10,149,
04/02/2020,Genesee,2,16,23,244,
04/02/2020,Greene,2,23,16,257,
04/02/2020,Hamilton,0,2,0,17,
04/02/2020,Herkimer,0,14,19,111,
04/02/2020,Jefferson,3,18,56,474,
04/02/2020,Kings,"1,396","15,700","2,512","30,372",
04/02/2020,Lewis,0,2,5,77,
04/02/2020,Livingston,2,16,12,176,
04/02/2020,Madison,10,70,70,446,
04/02/2020,Monroe,44,464,336,"4,316",
04/02/2020,Montgomery,2,10,8,165,
04/02/2020,Nassau,"1,437","12,024","2,663","26,971",
04/02/2020,New York,609,"8,452","1,294","20,893",
04/02/2020,Niagara,18,94,61,428,
04/02/2020,Oneida,10,71,77,664,
04/02/2020,Onondaga,18,252,195,"3,811",
04/02/2020,Ontario,2,28,29,375,
04/02/2020,Orange,404,"2,397","1,114","6,866",
04/02/2020,Orleans,3,9,13,140,
04/02/2020,Oswego,4,26,82,505,
04/02/2020,Otsego,0,21,12,206,
04/02/2020,Putnam,36,252,90,"1,013",
04/02/2020,Queens,"1,899","18,167","3,048","32,000",
04/02/2020,Rensselaer,3,56,31,"1,235",
04/02/2020,Richmond,287,"3,754",563,"8,282",
04/02/2020,Rockland,538,"4,289",997,"10,108",
04/02/2020,Saratoga,9,141,53,"1,842",
04/02/2020,Schenectady,9,110,42,"1,236",
04/02/2020,Schoharie,1,9,5,106,
04/02/2020,Schuyler,0,3,13,88,
04/02/2020,Seneca,2,6,13,108,
04/02/2020,St. Lawrence,4,43,54,502,
04/02/2020,Steuben,3,46,36,345,
04/02/2020,Suffolk,"1,408","10,154","2,575","24,028",
04/02/2020,Sullivan,25,168,140,997,
04/02/2020,Tioga,0,7,18,172,
04/02/2020,Tompkins,10,84,160,"1,452",
04/02/2020,Ulster,23,263,125,"1,628",
04/02/2020,Warren,1,19,11,489,
04/02/2020,Washington,3,15,13,293,
04/02/2020,Wayne,3,30,28,373,
04/02/2020,Westchester,784,"12,351","1,632","40,713",
04/02/2020,Wyoming,1,15,11,148,
04/02/2020,Yates,0,1,7,69,
04/01/2020,Albany,13,253,106,"3,810",
04/01/2020,Allegany,3,12,14,149,
04/01/2020,Bronx,"1,066","9,927","1,754","19,911",
04/01/2020,Broome,4,46,43,411,
04/01/2020,Cattaraugus,1,8,28,191,
04/01/2020,Cayuga,1,4,25,271,
04/01/2020,Chautauqua,2,8,8,124,
04/01/2020,Chemung,0,22,14,349,
04/01/2020,Chenango,2,28,16,111,
04/01/2020,Clinton,0,25,5,216,
04/01/2020,Columbia,5,36,21,396,
04/01/2020,Cortland,0,8,42,392,
04/01/2020,Delaware,2,22,7,134,
04/01/2020,Dutchess,120,667,330,"2,892",
04/01/2020,Erie,153,617,571,"2,778",
04/01/2020,Essex,0,6,2,89,
04/01/2020,Franklin,0,9,8,123,
04/01/2020,Fulton,4,6,10,139,
04/01/2020,Genesee,1,14,39,221,
04/01/2020,Greene,3,21,11,241,
04/01/2020,Hamilton,0,2,3,17,
04/01/2020,Herkimer,2,14,9,92,
04/01/2020,Jefferson,3,15,53,418,
04/01/2020,Kings,"1,189","14,304","2,041","27,860",
04/01/2020,Lewis,0,2,5,72,
04/01/2020,Livingston,0,14,17,164,
04/01/2020,Madison,9,60,67,376,
04/01/2020,Monroe,71,420,381,"3,980",
04/01/2020,Montgomery,1,8,10,157,
04/01/2020,Nassau,"1,033","10,587","1,908","24,308",
04/01/2020,New York,470,"7,843","1,002","19,599",
